gene,day1r1,day1r2,day1r3,day3r1,day3r2,day3r3,day6r1,day6r2,day6r3,day9r2,day9r3
Cbr-ncx-9,6.448343379,6.532410566,6.586999767,6.843823518,6.150290971,6.294738624,6.621794207,6.28675897,5.637477136,6.672836436,6.479008324
Cbr-ncx-8,5.569484382,5.819469389,5.905553213,6.813394055,6.688506424,6.294738624,5.758009488,5.453390169,6.119298531,6.594897571,6.332792489
CBG08639,8.971274161,8.988362723,9.054210672,10.16245505,10.29971865,10.352275,10.00402201,9.91386191,10.07659333,8.493735413,8.531280892
Cbr-ugt-7,5.904248364,6.017941423,6.002876481,5.823255359,5.923903556,5.674342597,5.183397053,5.504653033,5.384888798,6.225982539,6.399839337
CBG08642,6.570544844,6.841203764,6.989125131,6.380847514,6.545373356,6.446829707,6.789650111,6.742903746,7.268298691,6.854586672,6.767501528
Cbr-srr-6,5.246444588,5.09254881,5.096444643,5.180381281,5.306821173,5.708225975,5.308246547,5.87696621,5.537185164,5.810251573,5.747509753
Cbr-srr-4,9.107695767,9.104355866,8.962613449,8.707283507,8.752591323,8.971981233,8.348037292,8.295044908,8.866661546,9.617463766,9.516452922
Cbr-cpt-4,9.737113747,9.64191854,9.817442019,10.60871355,10.50342038,8.864857854,8.752723923,8.529330809,8.823558195,9.394606834,9.155317513
Cbr-swt-7,10.20192902,10.24827874,10.2784352,9.745171821,9.56827293,9.972646724,9.313364687,9.450911802,9.519787129,10.05716809,10.1711146
CBG08649,8.497616984,8.730155406,8.512515627,9.268404596,9.244078031,9.082640185,9.029816179,9.153004188,9.601912777,8.418069266,8.168630064
CBG08650,6.107451418,5.643260787,5.95523386,5.951518739,5.826217163,6.582889247,5.183397053,5.139121994,5.025780543,4.956566715,4.775941943
