Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000508	3395	cit-1.2
WBGene00000509	4647	cka-1
WBGene00000510	136	cka-2
WBGene00000511	199	ckb-1
WBGene00000512	1005	ckb-2
WBGene00000513	1	ckb-3
WBGene00000514	985	ckb-4
WBGene00000515	382	ckc-1
WBGene00000516	631	cki-1
WBGene00000517	4184	cki-2
WBGene00000518	119	ckk-1
WBGene00000519	7896	cku-70
WBGene00000520	7504	cku-80
WBGene00000521	5	cky-1
WBGene00000522	954	clc-1
WBGene00000523	270	clc-2
WBGene00000524	112	clc-3
WBGene00000525	3	clc-4
WBGene00000526	246	clc-5
WBGene00000527	2419	cle-1
WBGene00000528	5837	clh-1
WBGene00000529	118	clh-2
WBGene00000530	3019	clh-3
WBGene00000531	165	clh-4
WBGene00000532	7429	clh-5
WBGene00000533	6005	clh-6
WBGene00000534	13349	cpi-2
WBGene00000535	53592	cpi-1
WBGene00000536	1654	clk-1
WBGene00000537	6505	clk-2
WBGene00000539	101	cln-3.1
WBGene00000540	2072	cln-3.2
WBGene00000541	36	cln-3.3
WBGene00000542	18941	clp-1
WBGene00000543	4576	clp-2
WBGene00000544	133	clp-3
WBGene00000545	2368	clp-4
WBGene00000546	102	clp-6
WBGene00000547	8755	clp-7
WBGene00000548	17044	clr-1
WBGene00000549	7819	cls-2
WBGene00000550	24759	clu-1
WBGene00000551	17	clx-1
WBGene00000552	32063	cmd-1
WBGene00000553	164	cmk-1
WBGene00000554	1860	cnb-1
WBGene00000555	62	cnc-1
WBGene00000556	3137	cnc-2
WBGene00000557	752	cnc-3
WBGene00000558	3196	cnc-4
WBGene00000559	1	cnc-5
WBGene00000560	448	cnc-6
WBGene00000561	69	cnd-1
WBGene00000562	282	cng-1
WBGene00000563	4	cng-3
WBGene00000564	7759	cnk-1
WBGene00000565	5432	cnt-1
WBGene00000566	7712	cnt-2
WBGene00000567	19297	cnx-1
WBGene00000583	99	cof-2
WBGene00000584	52	cog-1
WBGene00000585	6614	cogc-2
WBGene00000591	3981	coh-1
WBGene00000592	6782	coh-3
WBGene00000593	15	col-2
WBGene00000594	7	col-3
WBGene00000596	2	col-7
WBGene00000597	2078	col-8
WBGene00000598	7	col-9
WBGene00000599	37	col-10
WBGene00000601	15	col-12
WBGene00000602	6	col-13
WBGene00000603	33	col-14
WBGene00000606	41	col-17
WBGene00000608	2844	col-19
WBGene00000609	589	col-20
WBGene00000610	14	col-33
WBGene00000611	178	col-34
WBGene00000612	0	col-35
WBGene00000613	11	col-36
WBGene00000614	0	col-37
WBGene00000615	234	col-38
WBGene00000616	33	col-39
WBGene00000617	2	col-40
WBGene00000618	36	col-41
WBGene00000620	563	col-43
WBGene00000621	4	col-44
WBGene00000622	22	col-45
WBGene00000623	17	col-46
WBGene00000624	0	col-47
WBGene00000625	64	col-48
WBGene00000626	5	col-49
WBGene00000627	9	col-50
WBGene00000628	4	col-51
WBGene00000629	1	col-52
WBGene00000630	48	col-53
WBGene00000631	8	col-54
WBGene00000632	2	col-55
WBGene00000633	9	col-56
WBGene00000634	3	col-58
WBGene00000636	28	col-60
WBGene00000637	2	col-61
WBGene00000638	5	col-62
WBGene00000639	11	col-63
WBGene00000640	34	col-64
WBGene00000641	13	col-65
WBGene00000642	2	col-66
WBGene00000644	194	col-68
WBGene00000645	5	col-69
WBGene00000646	6	H17B01.2
WBGene00000647	117	col-71
WBGene00000648	4	col-72
WBGene00000649	22	col-73
WBGene00000650	60	col-74
WBGene00000651	0	col-75
WBGene00000652	633	col-76
WBGene00000653	13	col-77
WBGene00000654	1	col-78
WBGene00000655	7	col-79
WBGene00000656	967	col-80
WBGene00000657	113	col-81
WBGene00000658	26	col-83
WBGene00000659	27	col-84
WBGene00000660	11	col-85
WBGene00000661	28	col-86
WBGene00000662	6	col-87
WBGene00000663	8	col-88
WBGene00000664	104	col-89
WBGene00000665	7	col-90
WBGene00000666	2	col-91
WBGene00000667	18	col-92
WBGene00000668	172	col-93
WBGene00000669	6	col-94
WBGene00000670	7396	col-95
WBGene00000671	143	col-96
WBGene00000672	42	col-97
WBGene00000673	723	col-98
WBGene00000674	684	col-99
WBGene00000675	4583	col-101
WBGene00000676	0	col-102
WBGene00000677	1026	col-103
WBGene00000678	24	col-104
WBGene00000679	10	col-105
WBGene00000680	7982	col-106
WBGene00000681	52	col-107
WBGene00000682	6	col-108
WBGene00000683	20	col-109
WBGene00000684	8	col-110
WBGene00000685	151	col-111
WBGene00000687	99	col-113
WBGene00000688	4	col-114
WBGene00000689	12	col-115
WBGene00000690	349	col-116
WBGene00000691	3	col-117
WBGene00000692	320	col-118
WBGene00000693	7273	col-119
WBGene00000694	32	col-120
WBGene00000695	215	col-121
WBGene00000696	18104	col-122
WBGene00000697	10	col-123
WBGene00000698	1053	col-124
WBGene00000699	48	col-125
WBGene00000700	0	col-126
WBGene00000701	0	col-127
WBGene00000702	2	col-128
WBGene00000703	147	col-129
WBGene00000704	10	col-130
WBGene00000705	2	col-131
WBGene00000706	15	col-132
WBGene00000707	20	col-133
WBGene00000708	94	col-135
WBGene00000709	3	col-136
WBGene00000710	7	col-137
WBGene00000711	21	col-138
WBGene00000712	101	col-139
WBGene00000713	2834	col-140
WBGene00000714	5	col-141
WBGene00000715	157	col-142
WBGene00000716	6124	col-143
WBGene00000717	14	col-144
WBGene00000718	12	col-145
WBGene00000719	7	col-146
WBGene00000720	8	col-147
WBGene00000721	0	col-148
WBGene00000722	29	col-149
WBGene00000723	28	col-150
WBGene00000724	7	col-151
WBGene00000725	9	col-152
WBGene00000726	53	col-153
WBGene00000727	7	col-154
WBGene00000728	41	col-155
WBGene00000729	2	col-156
WBGene00000730	13	col-157
WBGene00000731	410	col-158
WBGene00000732	56	col-159
WBGene00000733	400	col-160
WBGene00000734	8	col-161
WBGene00000735	15	col-162
WBGene00000736	12	col-163
WBGene00000737	3	col-164
WBGene00000738	25	col-165
WBGene00000739	605	col-166
WBGene00000740	17	col-167
WBGene00000741	1	col-168
WBGene00000742	7	col-169
WBGene00000743	1	col-170
WBGene00000744	0	col-171
WBGene00000745	10	col-172
WBGene00000746	6	col-173
WBGene00000747	9	col-174
WBGene00000748	7	col-175
WBGene00000749	11	col-176
WBGene00000750	14	col-177
WBGene00000751	1435	col-178
WBGene00000752	331	col-179
WBGene00000753	11	col-180
WBGene00000754	11885	col-181
WBGene00000755	6	col-182
WBGene00000756	296	col-183
WBGene00000757	8293	col-184
WBGene00000758	2	col-185
WBGene00000759	18	col-186
WBGene00000760	19	col-187
WBGene00000761	2088	coq-1
WBGene00000762	2425	coq-2
WBGene00000763	1378	coq-3
WBGene00000764	1024	coq-4
WBGene00000765	3821	coq-5
WBGene00000766	3573	coq-6
WBGene00000767	6601	coq-8
WBGene00000768	270	cor-1
WBGene00000770	6378	cpb-1
WBGene00000771	56	cpb-2
WBGene00000772	21024	cpb-3
WBGene00000773	7106	cpf-1
WBGene00000774	7786	cpf-2
WBGene00000775	338	cpin-1
WBGene00000776	50590	cpl-1
WBGene00000777	17284	cpn-1
WBGene00000778	117	cpn-2
WBGene00000779	4612	cpn-3
WBGene00000780	2572	cpn-4
WBGene00000781	109933	cpr-1
WBGene00000782	742	cpr-2
WBGene00000783	2340	cpr-3
WBGene00000784	36534	cpr-4
WBGene00000785	7855	cpr-5
WBGene00000786	48772	cpr-6
WBGene00000787	3599	cps-6
WBGene00000788	13099	cpz-1
WBGene00000789	6221	cpz-2
WBGene00000792	2097	crb-1
WBGene00000793	2794	crh-1
WBGene00000794	12749	crn-1
WBGene00000795	1493	crn-2
WBGene00000796	15598	crn-3
WBGene00000797	1089	crn-4
WBGene00000798	2373	crn-5
WBGene00000799	463	crn-6
WBGene00000800	15670	cars-1
WBGene00000801	666	cars-2
WBGene00000802	102677	crt-1
WBGene00000803	2420	csb-1
WBGene00000804	6166	csc-1
WBGene00000812	7505	csk-1
WBGene00000813	8209	csn-1
WBGene00000814	13204	csn-2
WBGene00000815	8475	csn-3
WBGene00000816	8389	csn-4
WBGene00000817	6493	csn-5
